iter	Passed	Remaining
904	1105	116
905	1105	114
906	1106	113
907	1107	112
908	1109	111
909	1110	109
910	1111	108
911	1111	107
912	1113	106
913	1114	104
914	1114	103
915	1115	102
916	1116	101
917	1117	99
918	1118	98
919	1118	97
920	1119	96
921	1120	94
922	1121	93
923	1123	92
924	1125	91
925	1126	89
926	1127	88
927	1129	87
928	1130	86
929	1131	85
930	1133	83
931	1134	82
932	1134	81
933	1135	80
934	1137	79
935	1139	77
936	1140	76
937	1141	75
938	1143	74
939	1144	73
940	1145	71
941	1146	70
942	1147	69
943	1148	68
944	1148	66
945	1149	65
946	1150	64
947	1151	63
948	1153	62
949	1155	60
950	1156	59
951	1157	58
952	1159	57
953	1160	55
954	1161	54
955	1162	53
956	1163	52
957	1163	51
958	1164	49
959	1165	48
960	1168	47
961	1169	46
962	1170	44
963	1171	43
964	1172	42
965	1173	41
966	1175	40
967	1176	38
968	1176	37
969	1177	36
970	1178	35
971	1179	33
972	1180	32
973	1182	31
974	1184	30
975	1185	29
976	1186	27
977	1187	26
978	1188	25
979	1189	24
980	1190	23
981	1191	21
982	1192	20
983	1193	19
984	1194	18
985	1195	16
986	1196	15
987	1198	14
988	1200	13
989	1201	12
990	1202	10
991	1203	9
992	1203	8
993	1204	7
994	1206	6
995	1207	4
996	1208	3
997	1208	2
998	1209	1
999	1212	0
